State,Crop,Season,SoilType,FarmingMethod,IrrigationType,FertilizerUsed,PesticideUsed,ImprovedSeed,Temperature(°C),Humidity(%),FarmExperience(Years),NumWorkers,CreditAccess,ExtensionServices,PreviousYield(tons/ha),YieldCategory,Rainfall(mm)_log,SoilPH_log,Fertilizer(kg/ha)_log,Pesticide(L/ha)_log,DistanceToMarket(km)_log,PlantingDensity(plants/ha)_log,ActualYield(tons/ha)_log,FarmSize(Hectares)_log,FarmAccessComfort,EnvironmentComfort,SoilIndex,IncreaseRate
Gombe,Groundnut,Dry Season,Sandy,Rain-Fed,Sprinkler,Yes,Yes,Yes,26.8,94.0,22,3,0,0,4.0,Medium,6.465,2.068,4.521,1.609,3.547,10.636,1.34,1.907,0.538,0.285,0.981,1.333
Kebbi,Sorghum,Dry Season,Sandy,Mixed,Flood,Yes,Yes,No,23.5,60.8,23,2,0,1,3.8,Medium,7.118,2.053,3.661,1.261,3.219,11.21,1.351,1.209,0.376,0.387,1.246,1.9
Katsina,Soybean,Rainy Season,Loamy,Rain-Fed,Drip,No,Yes,Yes,30.4,31.4,13,4,1,1,3.59,Medium,6.685,2.063,4.304,1.739,3.738,11.293,1.353,1.092,0.292,0.968,1.05,0.898
Yobe,Rice,Dry Season,Loamy,Mixed,Sprinkler,No,Yes,Yes,33.7,61.8,7,1,1,0,2.92,Medium,7.224,1.932,4.371,1.633,3.281,10.401,1.135,2.097,0.639,0.545,1.146,2.92
Katsina,Cowpea,Rainy Season,Clay,Rain-Fed,Flood,No,Yes,Yes,23.8,74.9,14,1,0,1,1.17,Low,6.108,1.988,4.313,1.306,0.693,10.754,1.125,1.696,2.447,0.318,0.969,1.17
Zamfara,Millet,Dry Season,Sandy,Mixed,Flood,No,No,Yes,32.8,78.3,13,3,0,0,2.75,Low,6.688,2.062,2.845,1.289,0.693,11.121,1.182,2.17,3.131,0.419,1.363,0.917
Katsina,Yam,Rainy Season,Silt,Mixed,Flood,No,Yes,Yes,32.0,65.6,5,4,0,0,4.84,Low,6.502,1.993,4.111,1.482,2.542,11.108,1.212,0.231,0.091,0.488,1.065,1.21
Kaduna,Cassava,Dry Season,Clay,Rain-Fed,Drip,No,Yes,Yes,27.0,86.0,5,2,0,1,1.25,Low,7.099,1.826,0.0,1.085,3.086,10.786,0.588,2.17,0.703,0.314,3.888,0.625
Taraba,Rice,Dry Season,Clay,Rain-Fed,Sprinkler,Yes,Yes,Yes,33.4,82.7,17,8,1,1,2.47,Medium,6.824,2.069,3.982,1.479,1.163,11.1,1.479,0.756,0.65,0.404,1.128,0.309
Plateau,Soybean,Rainy Season,Clay,Irrigation,Sprinkler,Yes,Yes,Yes,29.5,80.4,22,7,1,0,4.4,High,6.874,2.029,4.496,1.792,2.734,10.737,1.886,1.078,0.394,0.367,1.053,0.629
Kaduna,Rice,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,29.9,85.4,24,2,1,1,2.63,Medium,6.416,1.889,4.476,1.47,3.544,10.896,1.308,0.3,0.085,0.35,1.008,1.315
Jigawa,Wheat,Rainy Season,Sandy,Rain-Fed,Drip,Yes,Yes,Yes,24.2,34.6,16,7,1,1,4.12,Medium,6.903,2.115,4.663,1.475,2.219,11.064,1.543,1.157,0.521,0.699,1.018,0.589
Adamawa,Soybean,Rainy Season,Sandy,Irrigation,Flood,No,Yes,Yes,30.1,61.6,10,4,0,0,2.56,Medium,6.704,1.997,4.711,0.0,3.411,10.897,1.479,0.519,0.152,0.489,0.999,0.64
Kaduna,Rice,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,28.1,57.0,2,1,0,0,2.65,Low,6.648,2.093,4.361,1.526,1.099,10.765,0.668,1.524,1.387,0.493,1.03,2.65
Bauchi,Groundnut,Dry Season,Sandy,Irrigation,Sprinkler,Yes,Yes,Yes,27.0,83.8,8,1,0,1,3.87,High,6.761,1.876,4.736,1.834,3.186,10.519,1.837,2.17,0.681,0.322,1.023,3.87
Yobe,Groundnut,Rainy Season,Sandy,Rain-Fed,Drip,Yes,Yes,Yes,28.8,61.3,7,1,1,1,3.54,Low,5.552,2.098,4.25,1.619,3.871,10.706,1.099,0.647,0.167,0.47,0.875,3.54
Benue,Maize,Rainy Season,Sandy,Rain-Fed,Flood,Yes,No,No,25.6,89.6,4,1,1,0,1.7,Low,6.209,1.993,1.825,0.888,2.96,10.891,0.673,1.16,0.392,0.286,1.626,1.7
Yobe,Maize,Dry Season,Clay,Rain-Fed,Drip,Yes,No,No,27.8,72.2,22,4,0,1,3.73,Low,6.715,1.805,5.054,1.015,3.161,10.699,0.986,1.001,0.317,0.385,0.979,0.932
Plateau,Millet,Dry Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,24.9,50.0,0,5,0,0,2.19,High,6.866,2.147,4.713,0.531,2.557,11.05,1.937,0.904,0.354,0.498,1.001,0.438
Kebbi,Rice,Rainy Season,Sandy,Mixed,Flood,Yes,No,Yes,23.8,71.3,13,2,1,0,3.94,Medium,5.303,2.048,4.785,1.813,2.695,11.12,1.522,0.536,0.199,0.334,0.776,1.97
Katsina,Maize,Dry Season,Silt,Irrigation,Flood,Yes,Yes,No,32.3,87.1,8,5,1,1,1.35,Medium,7.057,1.993,4.324,2.048,0.693,10.787,1.477,0.631,0.911,0.371,1.117,0.27
Plateau,Wheat,Dry Season,Loamy,Irrigation,Flood,Yes,Yes,No,25.9,55.0,6,1,0,0,4.04,Medium,6.692,1.812,5.169,1.345,3.49,10.984,1.423,0.967,0.277,0.471,0.959,4.04
Katsina,Sorghum,Dry Season,Silt,Mixed,Sprinkler,No,Yes,No,32.4,73.0,9,5,0,0,3.28,Very low,5.932,1.775,4.339,1.53,2.332,11.097,0.593,1.105,0.474,0.444,0.97,0.656
Zamfara,Maize,Rainy Season,Sandy,Irrigation,Flood,No,No,Yes,26.6,87.5,13,6,1,1,4.62,Medium,7.049,2.068,3.49,0.464,0.693,10.477,1.5,0.385,0.556,0.304,1.268,0.77
Plateau,Rice,Dry Season,Loamy,Irrigation,Sprinkler,Yes,No,No,31.8,56.1,8,3,1,1,3.0,Medium,6.973,1.908,3.329,1.513,2.868,11.074,1.654,0.688,0.24,0.567,1.331,1.0
Gombe,Groundnut,Dry Season,Loamy,Irrigation,None,Yes,No,No,23.1,66.9,2,3,1,0,3.2,Medium,6.797,1.996,3.918,1.491,2.595,11.068,1.617,1.841,0.709,0.345,1.149,1.067
Jigawa,Cassava,Dry Season,Loamy,Irrigation,Sprinkler,No,Yes,Yes,26.0,57.3,9,3,1,1,2.51,Medium,6.5,1.839,2.58,1.708,3.497,10.608,1.267,0.385,0.11,0.454,1.471,0.837
Jigawa,Cowpea,Dry Season,Silt,Rain-Fed,Drip,No,Yes,No,31.8,57.9,0,4,0,1,3.95,Low,7.266,1.908,3.277,1.914,3.888,11.118,0.658,0.637,0.164,0.549,1.401,0.988
Katsina,Yam,Rainy Season,Loamy,Rain-Fed,Drip,Yes,Yes,Yes,27.1,63.5,12,3,1,1,2.53,Medium,6.67,1.943,4.331,0.948,3.109,10.857,1.364,0.14,0.045,0.427,1.063,0.843
Kebbi,Maize,Dry Season,Sandy,Rain-Fed,Drip,Yes,No,No,24.5,64.1,8,7,0,1,3.41,Medium,6.823,2.073,4.524,0.0,3.552,10.725,1.2,0.285,0.08,0.382,1.034,0.487
Gombe,Yam,Dry Season,Sandy,Rain-Fed,Sprinkler,Yes,Yes,No,28.34,53.7,14,5,1,1,3.51,Medium,6.544,1.876,4.667,1.866,3.538,11.134,1.314,0.262,0.074,0.528,1.0,0.702
Kano,Cowpea,Dry Season,Sandy,Mixed,Drip,Yes,No,No,30.9,69.9,9,8,1,0,5.05,Low,6.49,2.077,4.032,1.893,2.779,11.032,0.99,0.896,0.322,0.442,1.062,0.631
Sokoto,Millet,Dry Season,Loamy,Irrigation,Drip,Yes,Yes,Yes,29.6,72.9,8,5,0,1,4.33,High,6.893,1.852,5.12,0.815,3.254,10.569,1.694,0.811,0.249,0.406,0.989,0.866
Sokoto,Groundnut,Rainy Season,Loamy,Irrigation,Sprinkler,Yes,No,No,29.1,69.6,4,1,1,0,3.23,Medium,5.9,1.899,4.76,2.216,2.923,10.776,1.459,0.344,0.118,0.418,0.886,3.23
Kebbi,Groundnut,Rainy Season,Sandy,Irrigation,Drip,Yes,Yes,Yes,30.2,45.9,3,6,1,1,3.14,High,6.81,1.969,4.231,2.003,2.95,10.598,1.953,0.131,0.044,0.658,1.098,0.523
Benue,Cowpea,Dry Season,Loamy,Mixed,Sprinkler,Yes,Yes,Yes,28.2,57.9,12,5,0,1,3.01,Medium,5.881,1.977,4.659,1.253,3.49,9.69,1.502,2.17,0.622,0.487,0.886,0.602
Kano,Rice,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,No,35.4,93.1,9,4,0,1,1.11,Low,6.472,1.836,4.565,1.179,3.434,11.085,1.179,0.358,0.104,0.38,1.011,0.278
Zamfara,Yam,Rainy Season,Clay,Irrigation,Sprinkler,Yes,No,No,27.99,61.9,12,2,0,0,1.72,Medium,6.749,1.982,3.395,1.182,3.63,11.075,1.652,1.284,0.354,0.452,1.255,0.86
Kebbi,Yam,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,28.8,65.2,20,5,1,0,6.1,High,6.598,1.934,4.44,1.322,2.845,11.008,1.728,1.883,0.662,0.442,1.035,1.22
Gombe,Cowpea,Dry Season,Loamy,Mixed,Flood,No,Yes,Yes,28.34,52.2,8,1,1,0,2.69,Medium,6.778,2.041,4.766,1.194,0.693,10.855,1.67,0.536,0.773,0.543,0.996,2.69
Sokoto,Yam,Rainy Season,Sandy,Mixed,Sprinkler,No,Yes,No,22.3,47.4,6,4,1,1,3.98,Low,6.563,2.031,4.516,1.943,1.589,10.995,1.147,1.688,1.062,0.47,1.002,0.995
Bauchi,Rice,Rainy Season,Loamy,Rain-Fed,Flood,Yes,No,Yes,33.2,69.7,12,2,0,0,2.37,Low,5.937,2.091,4.437,1.721,3.364,10.998,1.004,0.9,0.268,0.476,0.909,1.185
Sokoto,Groundnut,Rainy Season,Clay,Rain-Fed,Flood,Yes,No,Yes,25.1,52.5,12,4,0,1,3.76,Medium,6.905,1.937,4.234,1.647,0.875,10.981,1.545,0.095,0.109,0.478,1.119,0.94
Sokoto,Millet,Dry Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,27.7,45.8,6,2,0,1,3.58,High,6.945,2.063,4.591,0.03,3.44,11.028,1.953,0.986,0.287,0.605,1.044,1.79
Gombe,Wheat,Dry Season,Sandy,Irrigation,Drip,No,No,Yes,28.6,73.8,4,1,0,1,4.85,Low,5.54,2.089,4.715,1.69,1.163,11.056,1.166,0.438,0.377,0.388,0.814,4.85
Niger,Groundnut,Rainy Season,Clay,Rain-Fed,Flood,Yes,No,Yes,28.1,73.4,9,1,0,0,4.19,Low,6.153,2.099,3.36,1.758,3.538,10.505,1.095,0.14,0.04,0.383,1.127,4.19
Kebbi,Sorghum,Rainy Season,Sandy,Rain-Fed,Sprinkler,Yes,Yes,Yes,23.0,48.8,6,5,0,1,2.28,Low,5.611,2.052,4.797,2.114,2.912,10.418,1.281,0.278,0.095,0.471,0.819,0.456
Kaduna,Sorghum,Rainy Season,Sandy,Irrigation,Flood,Yes,No,Yes,30.7,59.8,20,1,0,1,1.91,High,6.993,1.943,4.804,0.971,0.693,10.288,1.899,2.17,3.131,0.513,1.036,1.91
Yobe,Groundnut,Dry Season,Sandy,Irrigation,Drip,Yes,Yes,Yes,27.75,74.8,3,3,1,0,1.34,Medium,6.779,1.685,4.707,1.615,2.728,10.55,1.275,0.678,0.249,0.371,1.061,0.447
Zamfara,Rice,Dry Season,Silt,Rain-Fed,Sprinkler,Yes,Yes,No,31.2,64.9,6,4,1,0,3.14,Medium,6.07,1.929,4.602,0.846,2.734,11.18,1.206,1.845,0.675,0.481,0.929,0.785
Sokoto,Wheat,Rainy Season,Loamy,Mixed,Flood,Yes,Yes,Yes,27.3,68.8,9,4,0,0,3.88,Medium,6.602,2.077,4.641,0.262,2.251,11.044,1.685,0.464,0.206,0.397,0.983,0.97
Yobe,Millet,Rainy Season,Loamy,Irrigation,Flood,No,Yes,Yes,30.3,41.9,16,4,1,0,2.05,High,7.074,1.908,4.315,1.541,1.758,11.153,1.751,0.104,0.059,0.723,1.137,0.512
Jigawa,Yam,Dry Season,Loamy,Irrigation,Drip,No,Yes,No,31.6,69.9,22,4,1,0,4.54,High,7.135,2.131,4.098,1.863,3.437,11.083,1.821,1.957,0.569,0.452,1.145,1.135
Bauchi,Sorghum,Rainy Season,Clay,Rain-Fed,Flood,Yes,No,Yes,26.3,75.7,10,5,1,0,1.68,Medium,7.086,2.133,4.263,0.0,2.986,9.666,1.488,2.17,0.727,0.347,1.108,0.336
Katsina,Sorghum,Rainy Season,Sandy,Rain-Fed,Flood,Yes,Yes,Yes,32.5,66.7,13,1,0,0,4.08,Medium,6.887,2.187,3.826,1.179,2.923,10.948,1.3,0.399,0.137,0.487,1.145,4.08
Kebbi,Sorghum,Dry Season,Loamy,Rain-Fed,Flood,No,Yes,Yes,32.9,36.9,28,4,0,0,2.84,Medium,6.874,2.109,4.072,1.763,2.797,11.013,1.456,0.095,0.034,0.892,1.112,0.71
Adamawa,Soybean,Rainy Season,Sandy,Rain-Fed,Drip,No,Yes,Yes,29.3,62.0,11,7,0,1,2.94,Medium,6.946,1.91,4.332,1.688,3.515,10.618,1.366,0.892,0.254,0.473,1.113,0.42
Gombe,Rice,Dry Season,Loamy,Irrigation,Flood,No,No,Yes,23.9,61.9,15,5,0,1,2.19,Medium,6.923,1.837,4.661,0.445,0.693,11.011,1.459,1.33,1.919,0.386,1.065,0.438
Niger,Groundnut,Rainy Season,Clay,Mixed,Sprinkler,Yes,Yes,Yes,33.6,63.4,7,4,0,0,1.61,Low,6.238,1.921,3.877,1.433,3.273,11.025,1.019,1.959,0.599,0.53,1.076,0.402
Jigawa,Wheat,Dry Season,Loamy,Irrigation,Drip,No,Yes,No,31.0,63.5,22,3,1,0,1.55,Medium,7.278,2.121,4.006,1.67,1.253,11.097,1.461,0.278,0.222,0.488,1.188,0.517
Kebbi,Groundnut,Rainy Season,Clay,Irrigation,Drip,Yes,No,No,25.2,58.3,5,4,0,1,3.93,Medium,6.289,1.923,4.645,1.95,2.041,11.057,1.227,2.023,0.991,0.432,0.958,0.982
Zamfara,Soybean,Rainy Season,Clay,Irrigation,None,No,Yes,No,30.6,63.6,10,4,0,0,2.84,Medium,6.686,1.98,4.782,1.895,3.011,11.207,1.3,1.176,0.391,0.481,0.989,0.71
Bauchi,Sorghum,Dry Season,Sandy,Irrigation,Sprinkler,No,Yes,No,26.6,75.6,12,2,0,0,3.38,Medium,6.707,2.156,4.641,1.001,3.231,11.096,1.371,2.17,0.672,0.352,0.987,1.69
Niger,Cowpea,Dry Season,Sandy,Rain-Fed,Drip,Yes,Yes,Yes,26.4,60.3,17,5,1,1,3.37,High,6.502,2.069,4.65,0.068,2.322,10.795,1.858,1.881,0.81,0.438,0.968,0.674
Zamfara,Soybean,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,No,26.9,84.0,16,4,0,1,1.83,Medium,5.303,1.956,4.741,1.539,2.708,10.736,1.517,1.545,0.571,0.32,0.792,0.458
Jigawa,Rice,Rainy Season,Loamy,Mixed,Flood,Yes,Yes,No,24.7,62.8,11,5,0,1,4.76,Medium,6.764,1.966,3.493,1.409,3.011,10.944,1.389,1.749,0.581,0.393,1.239,0.952
Kebbi,Millet,Rainy Season,Clay,Rain-Fed,Flood,No,Yes,Yes,18.0,68.6,7,3,1,0,0.68,Medium,6.859,1.895,2.015,0.912,2.219,11.113,1.545,2.17,0.978,0.262,1.754,0.227
Kaduna,Yam,Rainy Season,Clay,Mixed,Drip,No,Yes,No,28.0,95.9,7,1,0,1,1.7,Low,6.739,1.765,3.718,1.712,3.902,10.793,1.072,1.717,0.44,0.292,1.229,1.7
Jigawa,Cassava,Dry Season,Sandy,Rain-Fed,Drip,Yes,Yes,Yes,24.5,68.0,0,5,0,1,3.25,Medium,6.983,1.982,4.278,1.652,2.434,10.794,1.428,1.802,0.74,0.36,1.115,0.65
Adamawa,Wheat,Dry Season,Silt,Mixed,Flood,Yes,Yes,Yes,32.1,78.4,4,5,0,0,3.74,Medium,6.501,1.803,4.542,0.086,3.082,11.07,1.5,2.074,0.673,0.409,1.025,0.748
Zamfara,Soybean,Rainy Season,Sandy,Irrigation,Sprinkler,Yes,Yes,Yes,24.8,80.7,22,1,0,1,3.55,High,6.907,1.978,3.239,1.238,0.742,10.784,1.601,0.182,0.245,0.307,1.324,3.55
Niger,Millet,Rainy Season,Clay,Mixed,Sprinkler,No,Yes,No,30.4,84.6,16,6,0,0,1.45,Medium,7.126,1.949,4.916,1.739,2.51,10.649,1.539,1.915,0.763,0.359,1.038,0.242
Niger,Cassava,Dry Season,Loamy,Irrigation,Drip,Yes,No,Yes,36.1,56.0,11,6,1,1,3.15,High,6.965,1.905,4.405,1.23,3.262,10.81,1.813,2.17,0.665,0.645,1.104,0.525
Yobe,Millet,Rainy Season,Sandy,Irrigation,Flood,No,No,Yes,28.9,78.4,4,4,1,1,1.91,Medium,6.946,1.725,4.812,1.714,2.856,11.094,1.456,1.04,0.364,0.369,1.063,0.478
Zamfara,Groundnut,Dry Season,Clay,Irrigation,Flood,Yes,Yes,Yes,24.5,49.0,23,1,0,0,2.08,Medium,5.955,1.901,3.924,2.046,0.693,10.928,1.506,1.522,2.196,0.5,1.022,2.08
Taraba,Groundnut,Rainy Season,Silt,Rain-Fed,Drip,No,Yes,Yes,26.3,61.6,17,2,0,0,2.18,Low,6.82,2.199,3.25,2.156,2.501,10.91,0.94,0.626,0.25,0.427,1.252,1.09
Kebbi,Sorghum,Rainy Season,Clay,Mixed,Drip,No,No,Yes,32.9,54.9,14,3,1,1,2.98,Medium,7.281,1.962,4.414,1.739,0.993,10.748,1.396,0.148,0.149,0.599,1.142,0.993
Taraba,Maize,Rainy Season,Clay,Rain-Fed,Sprinkler,Yes,No,No,24.9,58.7,6,3,0,0,2.8,Low,6.783,1.844,0.0,1.001,3.049,11.025,1.001,1.775,0.582,0.424,3.678,0.933
Benue,Yam,Rainy Season,Clay,Irrigation,Drip,Yes,Yes,Yes,25.5,57.1,14,5,1,1,2.12,High,6.859,2.239,4.154,1.381,3.487,11.206,1.754,1.122,0.322,0.447,1.073,0.424
Kebbi,Rice,Dry Season,Sandy,Rain-Fed,Sprinkler,No,No,Yes,35.2,82.7,25,8,0,0,3.38,Very low,6.497,1.714,4.209,1.641,3.869,10.827,0.501,0.824,0.213,0.426,1.097,0.422
Zamfara,Rice,Rainy Season,Clay,Irrigation,Drip,Yes,Yes,Yes,26.9,62.6,16,6,1,0,3.8,Medium,6.227,2.105,4.382,0.0,0.693,10.992,1.358,0.182,0.263,0.43,0.96,0.633
Kano,Sorghum,Rainy Season,Sandy,Rain-Fed,Sprinkler,Yes,No,Yes,32.0,40.7,10,1,1,1,3.21,Medium,6.97,1.991,4.791,1.656,2.442,10.989,1.479,1.569,0.643,0.786,1.028,3.21
Bauchi,Groundnut,Rainy Season,Sandy,Rain-Fed,Sprinkler,Yes,Yes,No,24.6,73.3,0,6,1,1,0.82,Low,6.98,2.083,4.196,1.842,3.589,11.428,0.956,0.182,0.051,0.336,1.112,0.137
Zamfara,Sorghum,Dry Season,Loamy,Rain-Fed,Flood,Yes,No,No,26.4,42.2,5,6,1,1,3.19,Medium,6.641,2.023,3.9,0.0,3.391,10.806,1.513,0.3,0.088,0.626,1.121,0.532
Taraba,Cowpea,Dry Season,Loamy,Rain-Fed,Sprinkler,Yes,Yes,No,28.8,37.2,0,6,1,0,3.97,Medium,6.758,1.813,4.177,1.699,2.815,11.094,1.463,2.071,0.736,0.774,1.128,0.662
Kaduna,Soybean,Rainy Season,Loamy,Rain-Fed,Sprinkler,Yes,Yes,Yes,33.1,82.2,3,2,1,1,2.52,Medium,6.922,2.093,4.734,1.837,2.96,11.178,1.445,0.652,0.22,0.403,1.014,1.26
Bauchi,Soybean,Rainy Season,Sandy,Rain-Fed,Flood,Yes,Yes,No,30.9,56.2,11,3,1,0,2.67,Medium,6.51,2.032,4.844,1.775,2.885,10.824,1.138,1.241,0.43,0.55,0.947,0.89
Zamfara,Wheat,Dry Season,Silt,Rain-Fed,Flood,Yes,No,Yes,27.5,60.9,4,2,1,0,2.77,Medium,7.004,1.831,4.309,1.314,2.879,10.924,1.386,2.063,0.717,0.452,1.141,1.385
Zamfara,Groundnut,Rainy Season,Sandy,Mixed,Flood,Yes,Yes,Yes,24.5,53.1,13,4,1,1,0.79,Medium,6.416,1.89,4.228,1.649,1.686,11.099,1.488,0.14,0.083,0.461,1.049,0.198
Kaduna,Maize,Rainy Season,Loamy,Mixed,Drip,No,Yes,No,29.8,71.4,12,3,0,0,1.25,Low,7.203,1.643,3.506,1.078,0.693,9.392,1.065,2.17,3.131,0.417,1.399,0.417
Zamfara,Cowpea,Dry Season,Loamy,Irrigation,Drip,Yes,Yes,Yes,36.1,69.0,7,6,0,1,4.47,High,6.759,1.992,4.664,1.075,2.991,10.732,1.859,1.595,0.533,0.523,1.015,0.745
Bauchi,Cowpea,Dry Season,Sandy,Mixed,Flood,No,Yes,Yes,27.0,60.5,12,3,0,1,2.11,Medium,6.833,1.908,4.613,1.131,1.792,11.361,1.633,1.587,0.886,0.446,1.048,0.703
Sokoto,Groundnut,Dry Season,Loamy,Mixed,Sprinkler,No,No,Yes,36.5,51.7,21,2,0,1,4.36,Medium,6.782,1.795,5.169,1.733,3.421,10.67,1.477,2.14,0.626,0.706,0.974,2.18
Kano,Soybean,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,No,28.1,77.6,4,4,0,1,3.38,Low,6.431,2.043,4.438,1.792,2.754,10.809,0.896,0.842,0.306,0.362,0.992,0.845
Katsina,Cassava,Rainy Season,Sandy,Rain-Fed,Flood,Yes,No,Yes,32.5,72.0,7,3,0,1,2.77,Medium,6.697,1.996,4.227,1.944,0.693,10.946,1.364,1.197,1.727,0.451,1.076,0.923
Kano,Soybean,Rainy Season,Clay,Rain-Fed,Flood,No,No,Yes,28.2,66.7,11,1,0,1,2.57,Low,6.779,1.992,4.284,1.581,2.874,10.736,1.2,1.93,0.672,0.423,1.08,2.57
Gombe,Wheat,Rainy Season,Clay,Irrigation,Sprinkler,Yes,No,No,25.5,55.0,16,5,1,1,2.5,Medium,6.668,1.949,4.758,1.484,0.788,10.593,1.203,0.642,0.815,0.464,0.994,0.5
Adamawa,Wheat,Rainy Season,Silt,Irrigation,Flood,No,Yes,No,21.9,47.8,14,4,0,0,3.01,Low,6.514,1.805,3.418,1.065,3.378,11.2,1.099,0.095,0.028,0.458,1.247,0.752
Yobe,Groundnut,Rainy Season,Clay,Mixed,Flood,Yes,No,No,27.0,83.4,2,3,1,0,3.88,Low,6.852,2.123,4.934,1.999,3.27,10.778,1.04,0.99,0.303,0.324,0.971,1.293
Zamfara,Yam,Dry Season,Sandy,Mixed,Flood,Yes,Yes,Yes,32.7,50.4,20,1,1,1,0.63,Medium,6.356,1.881,4.612,0.0,3.199,10.988,1.306,1.749,0.547,0.649,0.979,0.63
Sokoto,Yam,Dry Season,Loamy,Rain-Fed,Flood,Yes,Yes,No,23.3,75.0,28,2,0,1,1.87,Medium,6.702,1.987,4.009,1.737,2.477,10.596,1.587,0.571,0.231,0.311,1.118,0.935
Kebbi,Maize,Rainy Season,Sandy,Mixed,Drip,No,Yes,Yes,25.7,64.4,12,5,0,0,2.18,Low,6.531,1.973,4.457,1.345,2.175,11.21,1.147,1.391,0.64,0.399,1.016,0.436
Zamfara,Yam,Dry Season,Sandy,Mixed,Flood,No,Yes,Yes,30.2,48.7,3,5,1,1,2.77,Medium,7.025,2.068,4.398,1.754,1.224,10.417,1.541,1.468,1.199,0.62,1.086,0.554
Taraba,Millet,Rainy Season,Loamy,Rain-Fed,Sprinkler,No,Yes,Yes,28.8,32.2,11,3,1,0,3.83,Medium,6.907,1.816,3.742,1.484,3.231,10.691,1.099,1.647,0.51,0.894,1.243,1.277
Jigawa,Millet,Dry Season,Loamy,Rain-Fed,Drip,Yes,No,Yes,28.8,42.3,14,6,1,0,2.18,Medium,6.934,1.861,2.282,2.292,2.416,11.188,1.361,1.491,0.617,0.681,1.674,0.363
Sokoto,Rice,Rainy Season,Clay,Mixed,Drip,Yes,No,Yes,27.93,74.7,4,5,1,1,1.86,Low,6.63,1.901,4.496,1.908,2.874,10.064,0.912,0.811,0.282,0.374,1.036,0.372
Kaduna,Millet,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,No,28.6,38.1,6,3,0,0,2.54,Low,6.963,2.045,4.566,1.082,1.411,10.407,1.118,0.698,0.495,0.751,1.053,0.847
Sokoto,Cassava,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,No,21.1,63.6,11,3,0,0,3.61,Medium,6.743,1.963,3.203,1.82,3.144,10.922,1.621,0.571,0.182,0.332,1.305,1.203
Gombe,Cassava,Rainy Season,Loamy,Irrigation,Sprinkler,Yes,No,Yes,26.4,54.7,13,3,0,0,2.44,Medium,6.844,1.898,4.602,1.613,2.313,10.882,1.374,0.94,0.406,0.483,1.053,0.813
Kaduna,Cassava,Rainy Season,Loamy,Irrigation,Flood,No,No,Yes,31.2,56.1,5,4,1,0,3.69,Medium,6.769,1.978,5.042,1.77,2.991,10.933,1.343,1.345,0.45,0.556,0.964,0.922
Benue,Millet,Dry Season,Sandy,Rain-Fed,Flood,Yes,Yes,Yes,31.8,49.9,12,3,1,1,2.63,Medium,6.318,1.905,4.542,1.821,2.754,10.487,1.548,0.747,0.271,0.637,0.98,0.877
Katsina,Maize,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,No,28.4,51.9,20,4,1,1,0.76,Medium,6.763,1.87,4.821,1.275,1.668,9.673,1.194,1.921,1.152,0.547,1.011,0.19
Plateau,Soybean,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,No,26.6,45.6,10,4,0,0,5.5,Medium,6.399,1.904,4.549,2.054,3.239,10.74,1.364,1.384,0.427,0.583,0.992,1.375
Bauchi,Groundnut,Rainy Season,Clay,Irrigation,Sprinkler,Yes,Yes,Yes,31.7,86.9,8,4,1,0,2.46,Medium,7.04,1.834,4.572,0.829,0.678,10.813,1.23,1.253,1.848,0.365,1.099,0.615
Sokoto,Sorghum,Rainy Season,Loamy,Irrigation,Flood,No,No,No,20.5,94.8,6,5,0,0,0.52,Very low,5.862,1.852,4.472,2.292,3.364,10.897,0.788,1.303,0.387,0.216,0.927,0.104
Bauchi,Rice,Rainy Season,Loamy,Rain-Fed,Drip,Yes,Yes,Yes,28.8,92.0,11,8,1,1,0.34,Medium,6.874,2.091,4.382,2.014,0.693,11.075,1.617,0.554,0.799,0.313,1.062,0.042
Niger,Wheat,Dry Season,Loamy,Irrigation,Sprinkler,Yes,Yes,No,33.6,37.8,19,1,1,1,1.76,High,7.085,2.107,2.766,0.875,2.46,10.895,1.707,2.008,0.816,0.889,1.454,1.76
Taraba,Cowpea,Dry Season,Silt,Mixed,Flood,Yes,No,No,32.5,77.6,7,2,1,0,3.72,Low,6.834,2.239,4.443,1.115,2.931,10.71,1.015,1.603,0.547,0.419,1.023,1.86
Zamfara,Wheat,Rainy Season,Clay,Irrigation,Flood,Yes,Yes,Yes,38.1,84.4,5,4,1,0,2.77,Medium,7.145,1.701,4.225,1.53,3.254,11.213,1.335,0.542,0.167,0.451,1.206,0.692
Taraba,Rice,Rainy Season,Loamy,Rain-Fed,Drip,No,No,No,26.9,69.1,2,5,0,0,3.68,Very low,5.535,1.798,4.498,0.0,3.262,11.315,0.351,0.372,0.114,0.389,0.879,0.736
