FarmID,State,Crop,Season,SoilType,FarmingMethod,IrrigationType,FertilizerUsed,PesticideUsed,ImprovedSeed,FarmSize(Hectares),Rainfall(mm),Temperature(°C),Humidity(%),SoilPH,Fertilizer(kg/ha),Pesticide(L/ha),FarmExperience(Years),NumWorkers,DistanceToMarket(km),CreditAccess,ExtensionServices,PreviousYield(tons/ha),PlantingDensity(plants/ha),ActualYield(tons/ha),YieldCategory
FRM002055,Adamawa,Rice,Dry Season,Silt,Irrigation,Sprinkler,Yes,No,Yes,1.31,609.3,28.5,56.1,6.81,50.8,4.12,14,2,9.9,1,1,3.39,52679.0,4.83,High
FRM002056,Benue,Sorghum,Rainy Season,Clay,Mixed,Drip,Yes,Yes,Yes,7.76,702.5,20.1,51.8,6.91,93.4,2.83,11,1,26.3,1,0,1.69,68026.0,2.95,Medium
FRM002057,Sokoto,Sorghum,Rainy Season,Loamy,Mixed,Flood,Yes,No,Yes,0.28,726.1,30.7,63.4,7.56,103.3,3.97,24,2,4.6,0,0,3.22,56485.0,3.34,Medium
FRM002058,Bauchi,Groundnut,Dry Season,Clay,Mixed,Flood,Yes,Yes,Yes,0.99,1053.2,29.3,44.2,7.16,131.9,3.68,9,1,4.3,0,1,4.07,66806.0,2.95,Medium
FRM002059,Yobe,Cassava,Dry Season,Sandy,Irrigation,Sprinkler,Yes,Yes,Yes,2.0,601.7,27.2,68.6,5.59,124.4,2.94,7,1,2.0,1,0,3.75,80077.0,3.37,Medium
FRM002060,Niger,Groundnut,Dry Season,Clay,Mixed,Drip,Yes,Yes,No,0.62,1303.3,25.0,70.9,7.54,137.8,2.97,0,4,1.0,1,1,3.14,48860.0,3.83,Medium
FRM002061,Zamfara,Yam,Dry Season,Loamy,Irrigation,Sprinkler,Yes,Yes,No,4.97,1007.8,24.6,50.4,5.49,91.2,4.17,22,3,15.3,0,0,3.17,60081.0,3.49,Medium
FRM002062,Katsina,Rice,Rainy Season,Loamy,Rain-Fed,Drip,No,No,Yes,1.52,1026.5,30.1,60.4,5.28,48.2,5.66,4,5,23.4,0,0,2.22,52219.0,2.16,Low
FRM002063,Bauchi,Millet,Dry Season,Clay,Rain-Fed,Flood,No,No,Yes,7.0,699.1,25.7,72.1,4.84,30.6,7.36,5,2,26.1,1,1,1.57,48720.0,1.79,Low
FRM002064,Jigawa,Wheat,Dry Season,Silt,Irrigation,Drip,Yes,Yes,No,0.67,939.3,23.3,66.8,6.42,38.2,3.58,0,3,41.9,0,1,3.04,72555.0,3.66,Medium
FRM002065,Taraba,Millet,Rainy Season,Loamy,Rain-Fed,Flood,No,Yes,Yes,3.26,695.2,25.1,61.4,6.69,135.4,4.7,13,2,13.4,1,0,2.87,69553.0,4.28,Medium
FRM002066,Adamawa,Cassava,Dry Season,Loamy,Mixed,Flood,Yes,Yes,No,3.93,1209.1,31.9,40.2,6.83,133.1,4.11,1,5,14.1,0,1,2.41,43417.0,3.92,Medium
FRM002067,Kaduna,Cassava,Dry Season,Loamy,Irrigation,Flood,Yes,No,Yes,1.12,911.6,31.4,52.2,6.57,39.4,6.37,15,4,10.4,1,0,3.06,41069.0,6.05,High
FRM002068,Plateau,Soybean,Dry Season,Sandy,Rain-Fed,Sprinkler,Yes,Yes,No,7.76,1102.5,25.7,99.0,6.26,123.6,5.99,2,6,23.0,1,0,3.08,39264.0,2.0,Medium
FRM002069,Taraba,Groundnut,Rainy Season,Loamy,Rain-Fed,Flood,Yes,No,Yes,2.57,761.1,23.8,72.5,6.19,47.1,1.98,3,3,42.4,0,1,1.63,42931.0,4.36,Medium
FRM002070,Plateau,Yam,Rainy Season,Loamy,Irrigation,Drip,No,Yes,Yes,2.81,571.9,24.1,62.2,6.7,123.0,1.39,12,3,7.5,1,0,3.59,55598.0,2.37,Medium
FRM002071,Kano,Soybean,Dry Season,Clay,Irrigation,Flood,No,Yes,Yes,1.99,892.8,23.2,76.6,4.7,128.3,0.0,10,4,10.9,1,1,2.31,35123.0,3.66,Medium
FRM002072,Taraba,Cowpea,Rainy Season,Clay,Mixed,Flood,Yes,No,No,2.98,910.8,28.4,77.5,6.93,69.5,1.44,9,3,23.0,1,0,3.07,54267.0,3.33,Medium
FRM002073,Katsina,Yam,Rainy Season,Clay,Rain-Fed,Sprinkler,Yes,Yes,No,0.82,750.5,26.6,63.8,5.11,135.6,0.0,0,6,31.8,1,1,4.51,32126.0,4.28,Medium
FRM002074,Benue,Cassava,Rainy Season,Loamy,Mixed,Drip,Yes,No,No,4.2,852.3,26.6,85.0,5.32,81.5,3.16,23,3,2.0,1,0,1.96,35883.0,3.79,Medium
FRM002075,Niger,Cassava,Dry Season,Clay,Mixed,Flood,Yes,Yes,No,4.69,1156.6,26.1,75.5,6.87,123.4,0.0,16,4,11.8,1,1,6.1,47337.0,3.55,Medium
FRM002076,Zamfara,Sorghum,Dry Season,Clay,Irrigation,Flood,Yes,No,Yes,0.77,1011.2,29.0,72.6,6.06,127.7,4.88,14,9,39.6,1,0,3.42,37901.0,5.9,High
FRM002077,Zamfara,Cowpea,Dry Season,Loamy,Irrigation,Sprinkler,Yes,Yes,No,0.19,524.5,20.7,90.0,5.24,86.4,2.83,2,6,31.4,1,1,3.7,59051.0,2.84,Medium
FRM002078,Niger,Soybean,Dry Season,Loamy,Irrigation,Drip,Yes,Yes,No,3.14,626.4,34.7,68.7,6.51,95.7,1.69,17,1,1.0,1,0,4.88,59446.0,4.65,High
FRM002079,Yobe,Cassava,Dry Season,Loamy,Mixed,Drip,No,Yes,No,5.32,534.6,24.2,51.1,6.18,25.1,2.16,18,4,5.0,1,1,2.99,69074.0,3.04,Medium
FRM002080,Kebbi,Cowpea,Rainy Season,Silt,Rain-Fed,Sprinkler,Yes,No,Yes,7.76,656.7,27.9,57.0,6.83,44.5,3.1,12,3,7.9,0,0,6.1,67663.0,2.36,Medium
FRM002081,Kano,Rice,Rainy Season,Loamy,Irrigation,Flood,Yes,No,Yes,0.41,844.5,22.1,36.4,5.8,174.8,3.7,17,3,2.57,0,1,3.69,53631.0,4.72,High
FRM002082,Plateau,Wheat,Rainy Season,Clay,Irrigation,Flood,Yes,Yes,No,7.76,1536.45,27.2,68.3,7.02,98.9,2.99,20,3,45.8,1,1,3.8,53717.0,5.54,High
FRM002083,Katsina,Groundnut,Dry Season,Clay,Rain-Fed,Flood,Yes,No,Yes,0.34,761.1,27.5,39.0,5.95,51.9,6.27,15,1,44.5,0,1,4.64,59289.0,3.15,Medium
FRM002084,Sokoto,Cassava,Rainy Season,Sandy,Rain-Fed,Flood,Yes,Yes,No,7.76,770.8,26.2,61.8,5.49,82.5,3.23,15,3,22.9,0,1,2.24,56620.0,2.28,Low
FRM002085,Taraba,Rice,Rainy Season,Loamy,Irrigation,Drip,No,Yes,No,0.7,1136.9,28.2,73.5,6.16,0.0,3.97,10,3,22.3,1,0,3.0,43963.0,3.99,Medium
FRM002086,Kano,Yam,Rainy Season,Clay,Rain-Fed,Drip,Yes,No,Yes,1.97,661.6,30.5,60.8,5.51,99.1,4.59,15,7,22.3,0,0,2.26,52293.0,3.0,Low
FRM002087,Bauchi,Groundnut,Rainy Season,Loamy,Rain-Fed,Sprinkler,No,Yes,Yes,0.15,664.2,22.8,62.8,6.19,82.1,3.54,10,2,20.9,0,0,2.38,83598.0,1.64,Low
FRM002088,Adamawa,Cowpea,Rainy Season,Loamy,Rain-Fed,Flood,Yes,No,Yes,1.65,1151.9,29.7,44.5,5.83,49.9,4.53,14,5,24.0,0,1,3.56,49772.0,3.02,Medium
FRM002089,Taraba,Groundnut,Rainy Season,Sandy,Rain-Fed,Sprinkler,Yes,Yes,No,0.71,959.4,29.3,77.2,6.72,47.2,3.05,20,1,11.7,0,1,3.61,72297.0,2.37,Medium
FRM002090,Katsina,Millet,Dry Season,Silt,Rain-Fed,Flood,Yes,Yes,Yes,2.01,955.9,32.0,76.2,5.41,103.5,2.98,18,6,23.7,1,0,3.97,30792.0,5.72,High
FRM002091,Kaduna,Sorghum,Rainy Season,Loamy,Rain-Fed,Sprinkler,Yes,No,No,6.22,861.52,30.5,26.0,5.75,36.9,7.11,11,3,34.3,1,1,2.24,30560.0,3.6,Medium
FRM002092,Kaduna,Cowpea,Rainy Season,Clay,Rain-Fed,Flood,No,No,Yes,4.85,709.7,34.6,33.7,6.15,73.7,3.22,19,3,10.6,1,0,3.75,48568.0,2.28,Low
FRM002093,Jigawa,Rice,Dry Season,Clay,Rain-Fed,Drip,No,Yes,No,1.36,696.9,29.3,75.6,7.77,67.1,3.42,3,4,16.2,1,1,3.16,52551.0,1.38,Low
FRM002094,Kano,Cassava,Rainy Season,Silt,Mixed,Flood,Yes,Yes,Yes,2.99,603.9,24.9,78.6,5.18,92.0,4.33,23,5,1.0,1,1,1.24,44774.0,2.41,Medium
FRM002095,Benue,Cowpea,Dry Season,Sandy,Rain-Fed,Flood,Yes,Yes,Yes,1.23,781.3,35.2,64.4,6.5,68.1,2.96,13,5,31.8,1,0,3.61,44666.0,3.02,Medium
FRM002096,Katsina,Maize,Dry Season,Clay,Mixed,Drip,Yes,Yes,Yes,0.1,965.9,25.4,65.1,6.07,119.6,2.79,28,1,11.7,0,0,2.8,51503.0,2.69,Medium
FRM002097,Katsina,Millet,Rainy Season,Loamy,Irrigation,Flood,No,Yes,No,0.1,886.0,25.5,60.8,7.76,40.6,5.77,12,2,30.4,0,1,2.73,45620.0,3.15,Medium
FRM002098,Niger,Rice,Dry Season,Clay,Mixed,Sprinkler,Yes,No,No,2.82,537.0,28.3,65.5,6.15,19.0,2.85,12,1,12.2,1,0,2.23,46862.0,1.09,Low
FRM002099,Bauchi,Yam,Dry Season,Silt,Irrigation,Sprinkler,Yes,No,No,2.01,996.1,24.4,68.1,5.59,110.6,4.2,19,6,11.1,0,0,2.94,47549.0,3.13,Medium
FRM002100,Benue,Maize,Dry Season,Sandy,Rain-Fed,Flood,Yes,No,Yes,7.76,810.2,21.1,77.1,6.53,98.7,1.64,13,3,21.0,1,1,2.09,30099.0,3.63,Medium
FRM002101,Bauchi,Cowpea,Dry Season,Clay,Irrigation,Sprinkler,Yes,No,No,2.29,792.2,23.9,89.6,6.37,113.1,3.26,18,4,9.4,0,0,1.79,70175.0,2.7,Medium
FRM002102,Yobe,Sorghum,Rainy Season,Silt,Mixed,Flood,No,Yes,No,6.65,592.0,35.1,66.2,6.13,107.0,2.01,17,6,1.0,0,1,3.35,48377.0,1.51,Low
FRM002103,Plateau,Maize,Dry Season,Sandy,Rain-Fed,Flood,Yes,Yes,Yes,2.13,1345.2,29.5,63.6,6.56,43.8,6.6,17,4,31.6,1,1,4.22,52332.0,6.05,High
FRM002104,Plateau,Groundnut,Rainy Season,Sandy,Rain-Fed,Flood,Yes,Yes,Yes,6.31,775.7,29.7,60.2,7.05,94.0,2.53,11,2,2.8,0,1,3.88,65323.0,3.18,Medium
FRM002105,Sokoto,Cowpea,Dry Season,Sandy,Irrigation,Flood,No,Yes,Yes,5.65,1075.3,26.8,70.5,6.37,69.1,6.71,15,2,9.6,1,1,1.15,47417.0,5.79,High
FRM002106,Jigawa,Rice,Dry Season,Sandy,Mixed,Drip,No,Yes,Yes,0.72,901.8,21.5,58.2,6.93,108.9,3.29,12,3,11.8,0,0,1.13,57791.0,1.06,Low
FRM002107,Zamfara,Cowpea,Dry Season,Clay,Rain-Fed,Flood,Yes,No,Yes,0.6,200.0,32.9,76.7,7.73,9.7,3.62,3,2,14.8,1,0,4.34,62859.0,1.24,Low
FRM002108,Kaduna,Sorghum,Rainy Season,Sandy,Mixed,Flood,Yes,Yes,No,0.24,890.4,26.6,31.0,5.99,53.9,5.64,9,3,8.3,0,1,2.09,70239.0,2.96,Medium
FRM002109,Adamawa,Wheat,Rainy Season,Sandy,Rain-Fed,Flood,No,Yes,No,0.61,729.8,29.3,64.7,6.26,112.8,4.69,15,4,30.4,0,0,3.99,49534.0,1.71,Low
FRM002110,Plateau,Groundnut,Rainy Season,Clay,Mixed,Drip,Yes,No,No,6.23,725.9,35.0,68.2,4.7,76.1,3.25,7,7,10.6,1,1,3.31,61867.0,1.83,Low
FRM002111,Benue,Cassava,Dry Season,Sandy,Irrigation,Sprinkler,No,No,No,4.5,903.6,28.26,69.4,6.29,72.3,4.37,23,2,14.8,0,1,1.5,37146.0,3.66,Medium
FRM002112,Katsina,Cowpea,Dry Season,Clay,Irrigation,None,Yes,Yes,Yes,3.87,1151.8,29.7,63.7,5.87,157.7,1.78,12,3,31.5,1,1,2.2,57412.0,5.38,High
FRM002113,Adamawa,Sorghum,Dry Season,Clay,Irrigation,Flood,Yes,No,No,2.25,844.0,33.8,53.0,6.6,77.7,2.85,12,4,3.3,1,1,2.71,48330.0,3.64,Medium
FRM002114,Gombe,Maize,Rainy Season,Clay,Irrigation,Flood,No,Yes,Yes,1.08,622.3,27.6,53.2,5.84,84.0,1.61,5,3,32.5,1,0,6.1,43956.0,2.62,Medium
FRM002115,Bauchi,Maize,Dry Season,Clay,Mixed,Flood,Yes,No,Yes,2.33,423.9,27.2,73.7,7.49,77.5,2.08,1,4,31.1,1,0,3.02,48129.0,0.8,Low
FRM002116,Plateau,Rice,Rainy Season,Clay,Mixed,Flood,Yes,Yes,No,4.98,354.8,22.6,66.2,6.03,115.5,2.28,8,5,23.2,0,1,3.35,55891.0,1.88,Low
FRM002117,Katsina,Groundnut,Rainy Season,Loamy,Mixed,Drip,No,Yes,Yes,1.24,1006.6,29.1,62.3,7.2,73.1,3.64,24,1,10.7,1,0,0.75,85781.0,3.42,Medium
FRM002118,Plateau,Maize,Rainy Season,Loamy,Mixed,Flood,No,Yes,Yes,0.83,1126.0,25.2,78.1,4.85,96.5,0.99,32,2,24.3,1,1,2.79,76743.0,3.58,Medium
FRM002119,Kaduna,Cassava,Dry Season,Clay,Rain-Fed,Flood,No,Yes,Yes,3.43,674.4,27.6,77.5,6.74,102.2,4.18,17,1,12.8,1,1,1.07,47119.0,3.09,Medium
FRM002120,Gombe,Wheat,Rainy Season,Loamy,Mixed,Flood,Yes,Yes,Yes,0.67,506.6,26.0,56.4,4.91,114.5,2.28,19,3,21.2,1,0,2.64,24102.0,3.67,Medium
FRM002121,Taraba,Wheat,Dry Season,Loamy,Irrigation,Flood,Yes,Yes,No,4.03,862.04,30.0,78.9,6.06,109.6,0.5,22,5,5.0,1,0,2.97,54253.0,6.01,High
FRM002122,Plateau,Rice,Rainy Season,Loamy,Mixed,Sprinkler,No,Yes,Yes,1.54,927.0,18.0,57.5,7.13,94.6,6.32,3,2,4.5,1,1,2.1,40283.0,2.53,Medium
FRM002123,Yobe,Cowpea,Dry Season,Loamy,Irrigation,Flood,Yes,No,No,1.25,785.9,27.8,53.1,6.4,124.6,0.0,11,9,33.2,1,1,3.33,38517.0,3.13,Medium
FRM002124,Benue,Maize,Dry Season,Loamy,Irrigation,Flood,No,Yes,No,5.26,829.3,26.6,63.6,6.92,72.0,6.05,14,4,1.0,0,1,1.15,61775.0,2.64,Medium
FRM002125,Plateau,Sorghum,Dry Season,Loamy,Rain-Fed,Flood,Yes,No,No,0.45,926.2,22.9,64.7,6.82,143.3,3.28,10,5,7.9,0,1,1.88,72322.0,3.27,Medium
FRM002126,Zamfara,Yam,Rainy Season,Loamy,Rain-Fed,Sprinkler,Yes,No,Yes,2.73,872.1,33.7,56.5,7.1,52.8,5.02,7,4,38.7,0,1,0.2,74680.0,3.63,Medium
FRM002127,Adamawa,Wheat,Dry Season,Clay,Rain-Fed,Drip,Yes,No,Yes,0.54,1196.3,26.5,70.1,5.79,102.9,6.42,13,5,1.0,1,1,1.96,33992.0,4.55,Medium
FRM002128,Adamawa,Soybean,Dry Season,Silt,Rain-Fed,Drip,No,Yes,No,3.38,923.7,27.7,56.6,5.6,99.4,3.88,5,1,6.8,1,1,4.74,44101.0,2.89,Medium
FRM002129,Kaduna,Rice,Dry Season,Silt,Mixed,Flood,No,Yes,Yes,0.1,1490.7,28.5,72.7,6.3,90.8,6.19,12,1,1.0,0,0,3.16,69693.0,3.14,Medium
FRM002130,Benue,Cowpea,Dry Season,Loamy,Irrigation,None,Yes,Yes,Yes,6.29,978.0,24.9,57.4,6.65,0.0,2.45,8,3,15.4,1,0,4.92,56760.0,6.05,High
FRM002131,Gombe,Millet,Dry Season,Loamy,Rain-Fed,Drip,No,No,Yes,1.4,1057.0,31.6,58.2,5.13,109.7,2.64,15,2,20.5,1,1,3.62,54704.0,3.33,Medium
FRM002132,Yobe,Rice,Dry Season,Loamy,Irrigation,Flood,No,Yes,No,0.69,872.2,30.6,65.3,5.19,84.4,6.39,9,3,35.0,1,0,1.88,44139.0,3.19,Medium
FRM002133,Niger,Sorghum,Dry Season,Loamy,Irrigation,None,Yes,Yes,Yes,2.7,993.1,38.8,88.5,5.9,104.4,2.23,7,6,18.0,1,0,1.68,18322.0,5.15,High
FRM002134,Benue,Yam,Dry Season,Clay,Rain-Fed,None,No,Yes,Yes,0.81,1006.3,29.5,54.2,5.75,135.1,4.17,0,3,20.3,1,1,2.29,33992.0,3.7,Medium
FRM002135,Adamawa,Soybean,Rainy Season,Sandy,Mixed,Flood,Yes,No,Yes,3.06,761.5,26.0,68.0,5.58,89.3,3.74,9,1,7.4,1,0,3.19,54198.0,2.48,Medium
FRM002136,Zamfara,Wheat,Rainy Season,Sandy,Mixed,Flood,Yes,No,No,2.63,627.0,25.1,36.7,5.82,52.6,4.64,13,4,19.8,1,0,2.05,64268.0,0.97,Low
FRM002137,Taraba,Groundnut,Dry Season,Loamy,Rain-Fed,Flood,Yes,No,No,4.13,827.7,32.8,86.9,6.49,40.6,4.5,10,1,1.0,1,0,4.46,78061.0,2.0,Medium
FRM002138,Kaduna,Soybean,Dry Season,Sandy,Rain-Fed,Flood,Yes,Yes,Yes,3.58,888.1,27.0,74.4,6.42,107.6,2.86,14,2,19.8,1,1,2.32,74396.0,2.97,Medium
FRM002139,Niger,Wheat,Rainy Season,Loamy,Irrigation,Drip,No,Yes,Yes,0.34,928.2,18.0,81.6,6.09,94.5,1.1,9,3,24.4,1,0,4.64,46277.0,5.17,High
FRM002140,Zamfara,Millet,Dry Season,Loamy,Irrigation,Flood,No,Yes,Yes,1.8,1063.9,30.7,62.2,6.0,98.8,5.05,19,4,28.1,1,0,2.42,79071.0,4.69,High
FRM002141,Gombe,Millet,Dry Season,Loamy,Irrigation,Drip,Yes,No,Yes,1.64,578.2,26.8,34.9,6.43,74.6,3.51,1,3,2.1,0,0,3.52,60416.0,4.33,Medium
FRM002142,Bauchi,Wheat,Rainy Season,Loamy,Rain-Fed,Sprinkler,Yes,No,Yes,3.69,925.9,23.9,84.2,5.69,48.2,6.78,12,2,1.0,1,1,0.2,39226.0,2.98,Medium
FRM002143,Gombe,Groundnut,Dry Season,Clay,Mixed,Flood,Yes,Yes,Yes,2.4,817.8,29.7,84.8,6.68,104.6,1.17,20,6,19.15,0,0,3.19,26391.0,3.71,Medium
FRM002144,Zamfara,Rice,Rainy Season,Clay,Irrigation,None,Yes,Yes,No,3.52,1073.0,18.0,71.4,4.83,97.8,2.94,2,5,14.2,1,1,3.1,59476.0,2.83,Medium
FRM002145,Bauchi,Groundnut,Dry Season,Clay,Rain-Fed,None,No,No,Yes,5.26,200.0,28.3,75.0,6.73,68.4,5.73,20,4,9.8,1,0,2.71,39971.0,1.05,Low
FRM002146,Kano,Maize,Rainy Season,Clay,Rain-Fed,Sprinkler,Yes,Yes,No,0.25,897.1,27.9,65.4,6.14,82.3,4.46,0,7,16.6,0,1,3.34,23613.0,3.74,Medium
FRM002147,Kaduna,Wheat,Dry Season,Clay,Rain-Fed,Flood,No,No,No,5.1,580.5,31.9,48.8,6.6,116.2,5.26,6,5,4.8,1,0,2.18,46900.0,1.38,Low
FRM002148,Benue,Wheat,Rainy Season,Loamy,Rain-Fed,Drip,Yes,No,Yes,0.63,606.7,27.8,62.0,7.68,45.4,2.33,10,4,10.2,0,1,4.05,58864.0,2.58,Medium
FRM002149,Bauchi,Groundnut,Dry Season,Loamy,Rain-Fed,None,Yes,Yes,Yes,0.71,400.2,29.1,58.7,5.61,80.2,3.78,12,2,1.0,0,0,4.43,61948.0,3.37,Medium
FRM002150,Jigawa,Cassava,Dry Season,Loamy,Mixed,Flood,Yes,Yes,Yes,0.1,445.8,24.3,44.2,5.32,117.6,7.23,20,1,13.2,1,1,1.22,64236.0,2.69,Medium
FRM002151,Bauchi,Cassava,Rainy Season,Sandy,Irrigation,Sprinkler,Yes,Yes,Yes,0.58,721.3,26.3,75.7,5.78,91.7,4.38,12,5,30.2,1,0,2.08,63865.0,3.13,Medium
FRM002152,Katsina,Sorghum,Dry Season,Clay,Irrigation,Flood,No,No,Yes,0.11,1102.6,30.1,67.3,6.36,123.3,5.16,8,4,7.2,1,1,2.93,61813.0,4.23,Medium
FRM002153,Taraba,Cassava,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,Yes,3.21,884.4,26.6,63.3,5.6,92.7,5.21,17,5,18.96,1,1,2.05,39987.0,5.87,High
FRM002154,Katsina,Millet,Rainy Season,Loamy,Rain-Fed,Sprinkler,Yes,No,Yes,1.73,692.9,34.3,95.3,4.77,69.5,0.61,7,7,20.3,1,1,5.22,46448.0,3.25,Medium
FRM002155,Benue,Maize,Rainy Season,Silt,Rain-Fed,Drip,Yes,Yes,Yes,1.23,713.5,33.4,64.5,6.26,34.7,4.58,4,4,11.7,1,1,3.83,48296.0,4.78,Medium
FRM002156,Benue,Wheat,Dry Season,Sandy,Irrigation,Flood,No,Yes,No,2.67,1048.8,33.0,54.4,5.32,111.2,2.63,17,1,21.4,1,1,2.88,26940.0,3.28,Medium
FRM002157,Kaduna,Soybean,Dry Season,Loamy,Rain-Fed,Drip,Yes,Yes,Yes,0.78,862.5,36.5,52.3,6.59,102.1,3.92,13,1,1.0,0,0,3.57,58297.0,3.79,Medium
FRM002158,Benue,Millet,Dry Season,Silt,Irrigation,Sprinkler,No,No,Yes,5.82,1032.5,29.9,63.6,7.61,82.0,0.0,14,4,22.7,0,1,2.81,42490.0,2.88,Medium
FRM002159,Adamawa,Sorghum,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,Yes,1.22,534.7,25.2,37.9,6.5,88.2,3.19,8,3,23.2,1,1,2.85,56240.0,6.05,High
FRM002160,Bauchi,Yam,Rainy Season,Loamy,Rain-Fed,Sprinkler,Yes,Yes,Yes,7.76,783.3,30.0,74.0,5.08,90.5,0.94,5,1,30.4,1,1,3.15,40025.0,3.13,Medium
FRM002161,Bauchi,Maize,Dry Season,Sandy,Mixed,Flood,Yes,No,Yes,1.45,979.5,28.1,61.5,6.74,75.4,4.78,13,3,3.9,1,0,3.48,64804.0,2.8,Medium
FRM002162,Kano,Cassava,Dry Season,Sandy,Rain-Fed,Flood,Yes,Yes,Yes,4.87,765.0,23.3,75.5,6.76,52.2,1.41,22,5,31.6,1,1,1.07,59968.0,2.85,Medium
FRM002163,Niger,Cowpea,Dry Season,Silt,Irrigation,Flood,Yes,No,Yes,3.95,443.6,31.3,80.2,7.15,174.8,7.26,20,1,11.8,0,0,1.15,54271.0,3.87,Medium
FRM002164,Benue,Rice,Rainy Season,Loamy,Mixed,Sprinkler,No,No,Yes,5.54,1424.2,26.1,79.8,5.88,49.8,3.72,8,6,24.1,1,0,0.88,26482.0,4.11,Medium
FRM002165,Katsina,Soybean,Rainy Season,Loamy,Mixed,Flood,Yes,No,Yes,0.27,847.7,24.3,58.5,4.42,27.1,2.05,18,5,17.5,1,1,2.45,47973.0,3.77,Medium
FRM002166,Benue,Wheat,Rainy Season,Sandy,Irrigation,Sprinkler,No,No,No,5.97,1233.9,21.2,63.6,6.56,135.0,4.51,16,7,5.5,1,1,1.56,57274.0,4.11,Medium
FRM002167,Gombe,Yam,Rainy Season,Clay,Rain-Fed,Drip,Yes,Yes,Yes,3.64,823.2,26.9,62.0,6.99,87.0,4.73,8,4,20.6,1,0,3.3,43732.0,6.05,Medium
FRM002168,Kano,Rice,Rainy Season,Loamy,Irrigation,Flood,No,Yes,No,4.15,701.0,26.6,77.7,5.2,64.2,3.88,14,6,31.8,0,1,1.94,32798.0,1.42,Low
FRM002169,Adamawa,Groundnut,Rainy Season,Loamy,Irrigation,None,Yes,Yes,Yes,0.6,815.1,23.2,90.7,5.4,116.9,7.37,14,7,8.4,1,1,2.56,44501.0,4.12,High
FRM002170,Adamawa,Groundnut,Rainy Season,Clay,Rain-Fed,Sprinkler,Yes,No,No,1.35,971.7,26.2,49.0,5.53,76.3,3.95,14,3,9.4,1,1,0.72,58196.0,1.77,Low
FRM002171,Plateau,Maize,Dry Season,Loamy,Irrigation,Sprinkler,Yes,No,Yes,1.48,902.6,31.4,66.3,5.69,59.0,5.29,10,4,18.0,1,0,2.7,53925.0,5.78,High
FRM002172,Bauchi,Maize,Rainy Season,Loamy,Rain-Fed,Sprinkler,No,No,No,0.97,708.8,32.3,71.5,6.81,80.3,1.6,8,3,20.1,1,0,1.78,35783.0,1.5,Low
FRM002173,Adamawa,Maize,Rainy Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,4.41,966.0,32.4,44.8,6.56,32.1,1.14,6,3,30.3,0,0,0.63,48423.0,3.7,Medium
FRM002174,Bauchi,Millet,Dry Season,Silt,Mixed,Flood,Yes,Yes,Yes,7.06,898.8,33.5,86.0,5.91,125.4,1.07,11,1,28.7,1,1,1.29,39096.0,5.3,High
FRM002175,Plateau,Millet,Dry Season,Sandy,Rain-Fed,Flood,Yes,Yes,Yes,3.92,955.2,24.2,32.7,7.91,84.1,5.87,22,1,27.9,0,1,4.1,65457.0,2.88,Medium
FRM002176,Zamfara,Groundnut,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,Yes,2.2,985.6,32.0,85.6,5.38,42.8,2.58,5,1,22.1,1,0,2.44,47646.0,3.16,Medium
FRM002177,Taraba,Maize,Rainy Season,Loamy,Rain-Fed,Sprinkler,Yes,Yes,Yes,3.77,869.7,29.4,71.2,6.27,75.1,5.03,14,2,10.6,1,1,1.97,41236.0,5.08,High
FRM002178,Sokoto,Soybean,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,Yes,5.83,1059.3,28.5,65.8,6.58,87.8,6.84,22,5,8.0,0,0,2.48,78320.0,6.05,High
FRM002179,Yobe,Sorghum,Dry Season,Loamy,Rain-Fed,Flood,Yes,Yes,Yes,1.04,762.6,30.5,60.1,6.33,29.5,2.01,15,5,23.5,0,1,4.64,41231.0,5.53,High
FRM002180,Adamawa,Maize,Dry Season,Sandy,Irrigation,Flood,Yes,Yes,No,0.69,935.6,26.2,31.6,5.71,46.5,2.46,17,3,11.0,1,1,4.64,61210.0,6.05,High
FRM002181,Niger,Wheat,Rainy Season,Clay,Irrigation,Flood,Yes,No,Yes,0.2,942.9,35.9,74.3,7.89,117.4,0.97,8,4,17.2,1,1,2.67,65280.0,2.63,Medium
FRM002182,Gombe,Soybean,Rainy Season,Sandy,Irrigation,Drip,Yes,Yes,Yes,2.53,796.4,26.5,72.6,5.86,42.9,4.92,19,1,24.1,1,1,2.91,53457.0,4.07,High
FRM002183,Kebbi,Wheat,Rainy Season,Loamy,Irrigation,Flood,Yes,No,No,0.38,813.8,26.2,74.7,6.08,105.3,0.11,10,5,13.2,0,1,1.06,51329.0,4.0,Medium
FRM002184,Zamfara,Cowpea,Dry Season,Loamy,Rain-Fed,Flood,Yes,No,Yes,3.07,617.1,31.4,68.9,6.38,140.3,1.86,10,7,18.8,1,1,3.26,47687.0,4.31,Medium
FRM002185,Adamawa,Groundnut,Dry Season,Clay,Mixed,Flood,Yes,No,Yes,1.12,1149.8,32.3,66.9,6.33,46.9,1.69,14,3,17.8,1,0,2.41,38550.0,3.18,Medium
